Payment_ID,Invoice_ID,Payment_Date,Amount_Paid,Payment_Method
PAY00001,INV00001,2025-03-17,42847,Card
PAY00002,INV00002,2024-05-09,33240,Bank Transfer
PAY00003,INV00004,2025-04-30,36306,Bank Transfer
PAY00004,INV00005,2025-09-05,1403,Bank Transfer
PAY00005,INV00006,2025-05-09,19275,Card
PAY00006,INV00007,2026-02-16,5901,Cheque
PAY00007,INV00008,2024-05-03,5678,Cheque
PAY00008,INV00009,2025-02-04,38932,Bank Transfer
PAY00009,INV00010,2026-01-25,21422,Bank Transfer
PAY00010,INV00011,2025-04-02,30212,UPI
PAY00011,INV00012,2026-02-12,12011,Cheque
PAY00012,INV00013,2024-02-07,20275,Cheque
PAY00013,INV00014,2024-07-10,18113,Bank Transfer
PAY00014,INV00015,2025-05-24,34831,Bank Transfer
PAY00015,INV00016,2025-07-11,24101,Cheque
PAY00016,INV00018,2024-05-10,49047,Bank Transfer
PAY00017,INV00019,2024-03-22,24353,Cheque
PAY00018,INV00020,2024-04-27,47294,Cheque
PAY00019,INV00021,2024-10-10,47704,UPI
PAY00020,INV00022,2025-08-25,3951,Bank Transfer
PAY00021,INV00024,2024-12-09,6161,UPI
PAY00022,INV00025,2025-01-03,20417,Card
PAY00023,INV00026,2025-10-26,13307,Cheque
PAY00024,INV00027,2024-02-23,2066,Bank Transfer
PAY00025,INV00028,2025-01-07,43577,Bank Transfer
PAY00026,INV00029,2025-07-09,28013,Cheque
PAY00027,INV00030,2024-11-25,2831,Card
PAY00028,INV00031,2025-02-16,49514,Cheque
PAY00029,INV00032,2025-03-16,39290,Cheque
PAY00030,INV00033,2024-12-09,11328,UPI
PAY00031,INV00034,2024-11-21,2058,Bank Transfer
PAY00032,INV00035,2024-05-24,29962,Bank Transfer
PAY00033,INV00036,2025-01-27,30116,Bank Transfer
PAY00034,INV00039,2024-07-02,47106,Card
PAY00035,INV00040,2024-04-26,20084,Bank Transfer
PAY00036,INV00041,2025-03-30,36934,Bank Transfer
PAY00037,INV00042,2024-05-08,8459,Cheque
PAY00038,INV00043,2025-04-21,45476,Bank Transfer
PAY00039,INV00044,2025-09-21,5414,Cheque
PAY00040,INV00045,2025-12-08,8940,Bank Transfer
PAY00041,INV00046,2025-05-22,6443,Card
PAY00042,INV00047,2025-04-04,28461,Cheque
PAY00043,INV00048,2024-12-16,10240,Cheque
PAY00044,INV00050,2024-04-08,18835,Cheque
PAY00045,INV00051,2025-07-03,26198,Card
PAY00046,INV00052,2026-02-25,31936,UPI
PAY00047,INV00053,2025-10-07,21576,Bank Transfer
PAY00048,INV00055,2024-11-30,31412,Cheque
PAY00049,INV00056,2024-07-09,16743,Bank Transfer
PAY00050,INV00057,2024-10-17,25955,Cheque
PAY00051,INV00058,2025-10-30,48872,Bank Transfer
PAY00052,INV00059,2026-02-17,37701,Cheque
PAY00053,INV00060,2025-07-15,20754,Bank Transfer
PAY00054,INV00061,2024-11-19,14839,Bank Transfer
PAY00055,INV00062,2025-10-11,9051,UPI
PAY00056,INV00063,2024-02-11,38944,Bank Transfer
PAY00057,INV00064,2025-08-28,5253,Card
PAY00058,INV00065,2024-05-18,20276,Card
PAY00059,INV00066,2025-12-25,43044,UPI
PAY00060,INV00067,2026-02-19,11991,UPI
PAY00061,INV00068,2024-09-18,536,Bank Transfer
PAY00062,INV00069,2025-11-08,40567,Bank Transfer
PAY00063,INV00070,2025-06-17,22203,UPI
PAY00064,INV00072,2025-12-26,22503,Cheque
PAY00065,INV00073,2025-12-26,23469,Bank Transfer
PAY00066,INV00074,2025-03-06,48510,Card
PAY00067,INV00075,2025-03-18,36284,Cheque
PAY00068,INV00076,2025-05-07,2689,UPI
PAY00069,INV00077,2024-05-21,22900,Cheque
PAY00070,INV00078,2024-06-19,6601,Card
PAY00071,INV00079,2024-03-24,43336,Cheque
PAY00072,INV00080,2024-06-12,7621,UPI
PAY00073,INV00081,2024-12-04,16067,Card
PAY00074,INV00082,2024-04-08,750,Card
PAY00075,INV00083,2024-05-07,14062,Bank Transfer
PAY00076,INV00084,2024-07-04,26548,UPI
PAY00077,INV00085,2026-01-06,25896,UPI
PAY00078,INV00086,2025-04-27,17755,Cheque
PAY00079,INV00087,2025-01-09,4539,Bank Transfer
PAY00080,INV00088,2026-01-16,35984,Cheque
PAY00081,INV00089,2024-05-01,34747,Card
PAY00082,INV00090,2024-11-07,20085,Bank Transfer
PAY00083,INV00091,2025-11-09,37952,Cheque
PAY00084,INV00092,2025-04-22,8993,Bank Transfer
PAY00085,INV00093,2024-06-24,29033,Cheque
PAY00086,INV00094,2025-09-30,18204,Bank Transfer
PAY00087,INV00095,2025-09-03,36679,Card
PAY00088,INV00096,2024-04-03,41332,Bank Transfer
PAY00089,INV00097,2024-06-18,37632,Bank Transfer
PAY00090,INV00099,2025-04-26,25603,Card
PAY00091,INV00100,2024-08-27,26909,Card
PAY00092,INV00101,2025-04-05,45753,UPI
PAY00093,INV00104,2024-05-18,9307,UPI
PAY00094,INV00105,2025-05-24,42807,Cheque
PAY00095,INV00108,2025-02-10,33713,Bank Transfer
PAY00096,INV00109,2024-08-24,4276,Bank Transfer
PAY00097,INV00110,2025-03-29,13548,Card
PAY00098,INV00111,2024-07-31,2502,Card
PAY00099,INV00112,2025-07-04,36632,UPI
PAY00100,INV00113,2025-12-19,19182,Cheque
PAY00101,INV00114,2025-09-30,15006,Cheque
PAY00102,INV00115,2026-01-05,34138,Bank Transfer
PAY00103,INV00116,2024-07-09,11850,Cheque
PAY00104,INV00117,2025-11-05,32369,Card
PAY00105,INV00118,2025-02-05,17014,Card
PAY00106,INV00119,2024-05-17,29935,UPI
PAY00107,INV00120,2025-12-28,32071,UPI
PAY00108,INV00121,2024-12-15,43499,UPI
PAY00109,INV00123,2025-10-09,43788,
PAY00110,INV00124,2025-06-20,9498,Cheque
PAY00111,INV00125,2026-02-09,45478,UPI
PAY00112,INV00127,2024-11-22,31353,Cheque
PAY00113,INV00128,2026-01-13,43389,Cheque
PAY00114,INV00129,2025-01-11,22213,UPI
PAY00115,INV00131,2025-10-23,5167,Bank Transfer
PAY00116,INV00132,2025-12-26,35223,Cheque
PAY00117,INV00133,2024-09-16,22828,Cheque
PAY00118,INV00134,2024-07-24,32454,UPI
PAY00119,INV00135,2024-03-20,30125,Cheque
PAY00120,INV00136,2024-05-07,40770,Card
PAY00121,INV00137,2025-06-09,805,UPI
PAY00122,INV00138,2024-03-23,35301,Bank Transfer
PAY00123,INV00140,2024-06-10,25636,Cheque
PAY00124,INV00141,2024-04-14,19559,UPI
PAY00125,INV00142,2025-12-26,13641,Cheque
PAY00126,INV00143,2025-03-07,15469,Cheque
PAY00127,INV00144,2024-04-10,33571,Bank Transfer
PAY00128,INV00145,2025-12-19,35544,Bank Transfer
PAY00129,INV00146,2024-06-21,1793,Card
