Order_ID,Customer_ID,Sales_Date,Sales_Amount,Product_Category
ORD00001,C0227,2025-11-22,4444,Office Supplies
ORD00002,C0341,2025-10-22,75357,Electronics
ORD00003,C0295,2025-12-24,30713,Office Supplies
ORD00004,C0330,2024-12-22,5535,Furniture
ORD00005,C0213,2024-06-09,25795,Electronics
ORD00006,C0330,2025-04-15,37481,Electronics
ORD00007,C0181,2024-07-20,45827,Office Supplies
ORD00008,C0420,2024-08-27,28161,Office Supplies
ORD00009,C0268,2025-04-02,67645,Office Supplies
ORD00010,C0483,2025-08-19,48868,Office Supplies
ORD00011,C0041,2025-09-16,3835,Furniture
ORD00012,C0125,2024-02-03,76930,Office Supplies
ORD00013,C0382,2024-10-01,45600,Office Supplies
ORD00014,C0247,2025-01-05,75761,Furniture
ORD00015,C0031,2025-06-04,25270,Furniture
ORD00016,C0415,2025-05-03,17922,Electronics
ORD00017,C0094,2025-12-15,26046,Electronics
ORD00018,C0003,2025-05-08,1587,Office Supplies
ORD00019,C0216,2024-03-12,74079,Furniture
ORD00020,C0309,2024-11-06,66923,Furniture
ORD00021,C0202,2025-11-28,60818,Furniture
ORD00022,C0239,2025-10-07,46885,Electronics
ORD00023,C0381,2025-09-26,13841,Furniture
ORD00024,C0281,2024-09-12,49068,Office Supplies
ORD00025,C0195,2025-01-06,6418,Office Supplies
ORD00026,C0327,2025-01-25,75891,Electronics
ORD00027,C0341,2024-05-22,61040,Office Supplies
ORD00028,C0001,2024-06-25,44639,Electronics
ORD00029,C0347,2025-11-30,49363,Office Supplies
ORD00030,C0343,2025-12-24,35626,Office Supplies
ORD00031,C0053,2024-04-23,9139,Furniture
ORD00032,C0182,2025-02-24,24322,Office Supplies
ORD00033,C0156,2024-03-14,19721,Furniture
ORD00034,C0338,2025-02-21,59418,Furniture
ORD00035,C0459,2025-10-22,67505,Electronics
ORD00036,C0403,2025-10-24,75659,Furniture
ORD00037,C0487,2024-02-20,42035,Office Supplies
ORD00038,C0206,2024-11-05,64422,Electronics
ORD00039,C0128,2024-07-24,56613,Furniture
ORD00040,C0088,2024-10-22,43586,Electronics
ORD00041,C0367,2024-06-08,4075,Furniture
ORD00042,C0164,2024-10-04,30480,Electronics
ORD00043,C0209,2025-10-11,9801,Furniture
ORD00044,C0113,2024-11-01,8688,Office Supplies
ORD00045,C0341,2024-07-31,63712,Electronics
ORD00046,C0177,2024-06-01,35929,Electronics
ORD00047,C0407,2024-05-02,6637,Office Supplies
ORD00048,C0034,2024-12-09,54904,Office Supplies
ORD00049,C0127,2025-10-28,4953,Office Supplies
ORD00050,C0468,2025-01-08,32558,Office Supplies
ORD00051,C0496,2024-03-20,25423,Electronics
ORD00052,C0187,2024-06-16,53671,Furniture
ORD00053,C0301,2025-03-30,37926,Furniture
ORD00054,C0282,2025-04-19,9092,Furniture
ORD00055,C0225,2025-10-28,50982,Furniture
ORD00056,C0145,2024-06-16,67356,Furniture
ORD00057,C0322,2024-08-26,5851,Furniture
ORD00058,C0338,2024-01-31,61319,Office Supplies
ORD00059,C0041,2024-02-10,10068,Office Supplies
ORD00060,C0019,2024-04-21,18721,Furniture
ORD00061,C0430,2024-10-23,69643,Electronics
ORD00062,C0191,2025-02-05,39969,Electronics
ORD00063,C0054,2024-04-25,67750,Furniture
ORD00064,C0158,2025-08-23,3588,Electronics
ORD00065,C0144,2024-09-19,77568,Electronics
ORD00066,C0424,2024-02-25,9091,Furniture
ORD00067,C0087,2025-12-16,26210,Office Supplies
ORD00068,C0037,2024-10-27,75713,Electronics
ORD00069,C0016,2024-10-17,75506,Office Supplies
ORD00070,C0107,2024-01-17,55296,Furniture
ORD00071,C0029,2024-09-28,12219,Electronics
ORD00072,C0038,2024-03-01,61086,Electronics
ORD00073,C0344,2024-10-08,28124,Electronics
ORD00074,C0015,2024-12-22,49558,Electronics
ORD00075,C0112,2024-03-31,48766,Office Supplies
ORD00076,C0268,2025-06-09,60730,Office Supplies
ORD00077,C0163,2024-02-09,51729,Furniture
ORD00078,C0008,2025-03-16,59310,Furniture
ORD00079,C0332,2024-04-28,36032,Electronics
ORD00080,C0136,2025-06-18,30877,Furniture
ORD00081,C0480,2024-03-14,44533,Furniture
ORD00082,C0011,2025-08-03,47029,Electronics
ORD00083,C0137,2024-05-14,61008,Furniture
ORD00084,C0027,2025-12-02,21457,Electronics
ORD00085,C0176,2024-08-23,71763,Furniture
ORD00086,C0059,2024-04-17,44903,Electronics
ORD00087,C0061,2024-03-22,57941,Electronics
ORD00088,C0443,2025-04-27,13611,Furniture
ORD00089,C0107,2025-01-13,26271,Furniture
ORD00090,C0058,2024-02-06,52496,Electronics
ORD00091,C0332,2025-03-07,43679,Electronics
ORD00092,C0324,2024-09-17,66392,Electronics
ORD00093,C0485,2024-11-21,46581,Electronics
ORD00094,C0063,2025-12-16,5722,Furniture
ORD00095,C0103,2025-05-26,10749,Electronics
ORD00096,C0075,2024-01-08,58502,Electronics
ORD00097,C0165,2024-02-02,72531,Office Supplies
ORD00098,C0157,2024-11-24,24173,Furniture
ORD00099,C0475,2024-01-21,72931,Office Supplies
ORD00100,C0224,2024-02-05,57166,Office Supplies
ORD00101,C0304,2024-05-11,42628,Electronics
ORD00102,C0417,2024-08-28,54413,Electronics
ORD00103,C0051,2025-11-19,2957,Office Supplies
ORD00104,C0377,2025-11-01,76378,Electronics
ORD00105,C0401,2024-03-17,78434,Electronics
ORD00106,C0484,2025-12-23,36243,Electronics
ORD00107,C0014,2025-09-01,67200,Electronics
ORD00108,C0085,2025-10-01,60201,Office Supplies
ORD00109,C0057,2025-08-24,18788,Office Supplies
ORD00110,C0359,2025-10-20,25213,Office Supplies
ORD00111,C0267,2025-04-03,41095,Office Supplies
ORD00112,C0040,2024-12-09,78484,Furniture
ORD00113,C0319,2024-06-02,47654,Furniture
ORD00114,C0326,2024-07-15,40040,Office Supplies
ORD00115,C0170,2024-02-15,20483,Furniture
ORD00116,C0219,2024-09-23,23768,Furniture
ORD00117,C0125,2025-06-29,57818,Office Supplies
ORD00118,C0305,2025-02-07,58323,Furniture
ORD00119,C0281,2024-03-05,11880,Electronics
ORD00120,C0172,2024-03-12,23421,Office Supplies
ORD00121,C0328,2024-05-18,62384,Electronics
ORD00122,C0420,2024-10-04,25775,Electronics
ORD00123,C0377,2025-03-12,65580,Furniture
ORD00124,C0255,2025-09-24,68718,Electronics
ORD00125,C0340,2025-01-29,60705,Furniture
ORD00126,C0260,2024-03-09,2516,Furniture
ORD00127,C0002,2025-06-06,18662,Furniture
ORD00128,C0492,2024-02-25,66970,Office Supplies
ORD00129,C0406,2024-08-16,47990,Electronics
ORD00130,C0367,2025-12-12,29702,Electronics
ORD00131,C0381,2024-04-09,47591,Furniture
ORD00132,C0296,2024-07-01,8177,Office Supplies
ORD00133,C0093,2025-11-18,33630,Furniture
ORD00134,C0198,2024-03-26,51774,Office Supplies
ORD00135,C0084,2024-01-17,11793,Furniture
ORD00136,C0424,2024-06-03,78284,Furniture
ORD00137,C0376,2024-04-29,19405,Furniture
ORD00138,C0330,2025-02-14,8595,Office Supplies
ORD00139,C0288,2025-03-04,77864,Furniture
ORD00140,C0398,2024-04-23,12460,Electronics
ORD00141,C0284,2024-10-04,1215,Office Supplies
ORD00142,C0123,2025-10-01,4534,Office Supplies
